record_id,entity,year,metric,value,unit,population_basis,source_id,source_url,note
CN-2025-60PLUS,中国,2025,60plus,32338,万人,全国人口,SRC-20260905-elder-companion-01,https://www.stats.gov.cn/xxgk/jd/sjjd2020/202601/t20260119_1962338.html,年末人口
CN-2025-65PLUS,中国,2025,65plus,22365,万人,全国人口,SRC-20260905-elder-companion-01,https://www.stats.gov.cn/xxgk/jd/sjjd2020/202601/t20260119_1962338.html,年末人口
BJ-2024-60PLUS,北京,2024,60plus,514.0,万人,常住人口,SRC-20260905-elder-companion-02,https://mzj.beijing.gov.cn/art/2025/9/17/art_4490_746228.html,占常住人口23.5%
BJ-2024-65PLUS,北京,2024,65plus,359.6,万人,常住人口,SRC-20260905-elder-companion-02,https://mzj.beijing.gov.cn/art/2025/9/17/art_4490_746228.html,占常住人口16.5%
SH-2024-60PLUS,上海,2024,60plus,577.62,万人,户籍人口,SRC-20260905-elder-companion-03,https://www.shanghai.gov.cn/nw4411/20250521/9cd16db60e124efeaab01936311e8f05.html,占户籍人口37.6%
SH-2024-80PLUS,上海,2024,80plus,86.00,万人,户籍人口,SRC-20260905-elder-companion-03,https://www.shanghai.gov.cn/nw4411/20250521/9cd16db60e124efeaab01936311e8f05.html,占户籍人口5.6%
SH-2024-PURE-OLD-FAMILY,上海,2024,pure_old_family,179.34,万人,户籍统计,SRC-20260905-elder-companion-03,https://www.shanghai.gov.cn/nw4411/20250521/9cd16db60e124efeaab01936311e8f05.html,纯老家庭
SH-2024-LIVING-ALONE,上海,2024,living_alone,33.62,万人,户籍统计,SRC-20260905-elder-companion-03,https://www.shanghai.gov.cn/nw4411/20250521/9cd16db60e124efeaab01936311e8f05.html,老年独居
GZ-2024-60PLUS,广州,2024,60plus,212.92,万人,户籍人口,SRC-20260905-elder-companion-04,https://www.gz.gov.cn/xw/zwlb/bmdt/smzj/content/post_10288106.html,占户籍人口19.81%
GZ-2024-60-69-SHARE,广州,2024,60_69_share,53.58,%,户籍老年人口,SRC-20260905-elder-companion-04,https://www.gz.gov.cn/xw/zwlb/bmdt/smzj/content/post_10288106.html,60至69岁占老年人口
GZ-2024-MIGRANT-60PLUS,广州,2024,migrant_60plus,74.87,万人,居住登记非户籍,SRC-20260905-elder-companion-04,https://www.gz.gov.cn/xw/zwlb/bmdt/smzj/content/post_10288106.html,非户籍常住老年人口
SZ-2023-60PLUS,深圳,2023,60plus,138.29,万人,常住人口,SRC-20260905-elder-companion-19,https://m.mp.oeeee.com/oe/BAAFRD0000202507241106088.html,占常住人口7.77%；2024口径不完整
SZ-2020-60PLUS,深圳,2020,60plus,94.07,万人,七普常住人口,SRC-20260905-elder-companion-19,https://m.mp.oeeee.com/oe/BAAFRD0000202507241106088.html,占常住人口5.36%
HZ-2024-60PLUS,杭州,2024,60plus,227.27,万人,户籍人口,SRC-20260905-elder-companion-05,https://hwyst.hangzhou.com.cn/xwfb/content/2025-03/26/content_8960545.htm,占户籍人口25.92%
HZ-2024-65PLUS,杭州,2024,65plus,161.51,万人,户籍人口,SRC-20260905-elder-companion-05,https://hwyst.hangzhou.com.cn/xwfb/content/2025-03/26/content_8960545.htm,占户籍人口18.42%
HZ-2024-80PLUS,杭州,2024,80plus,31.89,万人,户籍人口,SRC-20260905-elder-companion-05,https://hwyst.hangzhou.com.cn/xwfb/content/2025-03/26/content_8960545.htm,占老年人口14.03%
NJ-2024-60PLUS,南京,2024,60plus,190.71,万人,户籍人口,SRC-20260905-elder-companion-06,https://mzj.nanjing.gov.cn/njsmzj/mtgz/202510/t20251027_5677312.html,占户籍人口25.57%
NJ-2024-65PLUS,南京,2024,65plus,137.12,万人,户籍人口,SRC-20260905-elder-companion-06,https://mzj.nanjing.gov.cn/njsmzj/mtgz/202510/t20251027_5677312.html,占户籍人口18.38%
NJ-2024-80PLUS,南京,2024,80plus,28.25,万人,户籍人口,SRC-20260905-elder-companion-06,https://mzj.nanjing.gov.cn/njsmzj/mtgz/202510/t20251027_5677312.html,占总人口3.79%
WH-2024-60PLUS,武汉,2024,60plus,230.43,万人,户籍人口,SRC-20260905-elder-companion-07,https://ybj.wuhan.gov.cn/zwgk_52/xxgk/qtzdgknr/jytabl/202509/t20250916_2648255.shtml,占户籍人口24.08%
WH-2024-65PLUS,武汉,2024,65plus,164.14,万人,户籍人口,SRC-20260905-elder-companion-07,https://ybj.wuhan.gov.cn/zwgk_52/xxgk/qtzdgknr/jytabl/202509/t20250916_2648255.shtml,占户籍人口17.15%
XA-2024-60PLUS-RESIDENT,西安,2024,60plus,250.45,万人,常住人口,SRC-20260905-elder-companion-08,https://mzj.xa.gov.cn/mzzx/tzgg/1970752450749079554.html,占常住人口19.02%
XA-2024-65PLUS-RESIDENT,西安,2024,65plus,167.49,万人,常住人口,SRC-20260905-elder-companion-08,https://mzj.xa.gov.cn/mzzx/tzgg/1970752450749079554.html,占常住人口12.72%
XA-2024-60PLUS-HOUSEHOLD,西安,2024,household_60plus,217.71,万人,户籍人口,SRC-20260905-elder-companion-08,https://mzj.xa.gov.cn/mzzx/tzgg/1970752450749079554.html,占户籍人口21.15%
CN-2024-ELDERLY-NETIZENS,中国,2024,elderly_netizens,15600,万人,网民,SRC-20260905-elder-companion-20,http://mzj.gz.gov.cn/dt/mtgz/content/post_10375275.html,约占网民14.1%；非人口总量
