sample_id,provider_or_source,city,service_type,duration_or_unit,price_rmb,price_basis,source_class,source_id,source_url,verification_status,note
xhs-xuhui,个人小红书样本,上海徐汇,医院陪诊,每小时（2小时起订）,50,个人公开帖子,C,SRC-20260905-elder-companion-11,https://www.jfdaily.com/wx/detail.do?id=883028,partial,另有挂号取药复印等单项服务费
pudong-normal,浦东智慧陪诊,上海浦东,普通陪诊,4小时,198,官方试点价,A,SRC-20260905-elder-companion-10,https://www.pudong.gov.cn/zwgk/14559.gkml_ywl_shfl/2025/146/341141.html,verified,可选接送另加99元
pudong-pro4,浦东智慧陪诊,上海浦东,专业陪诊,4小时,280,官方试点价,A,SRC-20260905-elder-companion-10,https://www.pudong.gov.cn/zwgk/14559.gkml_ywl_shfl/2025/146/341141.html,verified,可选接送另加99元
pudong-pro8,浦东智慧陪诊,上海浦东,专业陪诊,8小时,500,官方试点价,A,SRC-20260905-elder-companion-10,https://www.pudong.gov.cn/zwgk/14559.gkml_ywl_shfl/2025/146/341141.html,verified,可选接送另加99元
peizhenbei-2h,陪诊呗,全国/城市,医院陪诊,2小时起,158,商家自报起价,B,SRC-20260905-elder-companion-15,https://www.peizhenbei.com/,partial,平台自报认证与覆盖信息不等于第三方验证
peizhenbei-day,陪诊呗,全国/城市,医院陪诊,全天,318,商家自报起价,B,SRC-20260905-elder-companion-15,https://www.peizhenbei.com/,partial,具体城市和项目可能不同
99-2h,99陪诊,杭州,医院陪诊,2小时,170,商家自报价,B,SRC-20260905-elder-companion-16,https://www.99peizhen.com/hangzhou/,partial,页面价格可能随时调整
99-4h,99陪诊,杭州,医院陪诊,4小时,236,商家自报价,B,SRC-20260905-elder-companion-16,https://www.99peizhen.com/hangzhou/,partial,页面价格可能随时调整
99-day,99陪诊,杭州,医院陪诊,全天,400,商家自报价,B,SRC-20260905-elder-companion-16,https://www.99peizhen.com/hangzhou/,partial,页面价格可能随时调整
evercare-basic,EverCare,全国/线上,长期陪伴,月度套餐折算每小时,74.5,商家自报套餐折算,B,SRC-20260905-elder-companion-17,https://carehouse.app/pricing,partial,页面抽取不稳定；非中国本地价格验证
evercare-standard,EverCare,全国/线上,长期陪伴,月度套餐折算每小时,134.5,商家自报套餐折算,B,SRC-20260905-elder-companion-17,https://carehouse.app/pricing,partial,页面抽取不稳定；非中国本地价格验证
evercare-premium,EverCare,全国/线上,长期陪伴,月度套餐折算每小时,229.5,商家自报套餐折算,B,SRC-20260905-elder-companion-17,https://carehouse.app/pricing,partial,页面抽取不稳定；非中国本地价格验证
gd-1to3,广东免陪照护,广东,住院照护,每日1:3,140,官方指导价,A,SRC-20260905-elder-companion-21,https://www.nhsa.gov.cn/art/2025/2/26/art_14_15804.html,verified,医疗照护而非纯陪伴，不应直接作为陪诊价格
gd-1to2,广东免陪照护,广东,住院照护,每日1:2,180,官方指导价,A,SRC-20260905-elder-companion-21,https://www.nhsa.gov.cn/art/2025/2/26/art_14_15804.html,verified,医疗照护而非纯陪伴，不应直接作为陪诊价格
gd-1to1,广东免陪照护,广东,住院照护,每日1:1,280,官方指导价,A,SRC-20260905-elder-companion-21,https://www.nhsa.gov.cn/art/2025/2/26/art_14_15804.html,verified,医疗照护而非纯陪伴，不应直接作为陪诊价格
douyin-nanchang-hour,抖音南昌陪诊价格讨论,南昌,医院陪诊,每小时,100-150,平台转录／内容讨论,D,SRC-20260905-elder-companion-14,https://www.douyin.com/shipin/7642890752590170122,partial,非官方市场均价
douyin-nanchang-half,抖音南昌陪诊价格讨论,南昌,医院陪诊,半天,200-300,平台转录／内容讨论,D,SRC-20260905-elder-companion-14,https://www.douyin.com/shipin/7642890752590170122,partial,非官方市场均价
